dc (V),NM0:d (W=1.00e-06) (A),NM0:d (W=6.00e-06) (A),NM0:d (W=1.10e-05) (A),NM0:d (W=1.60e-05) (A),NM0:d (W=2.10e-05) (A),NM0:d (W=2.60e-05) (A),dc (V),deriv(value(getData("/NM0/D" ?result "dc") "W" 2.1e-05)),deriv(value(getData("/NM0/D" ?result "dc") "W" 1.6e-05)),deriv(value(getData("/NM0/D" ?result "dc") "W" 1.1e-05)),deriv(value(getData("/NM0/D" ?result "dc") "W" 2.6e-05))
746.0E-3,113.3E-6,587.2E-6,1.056E-3,1.523E-3,1.990E-3,2.457E-3,748.0E-3,13.66E-3,10.43E-3,7.212E-3,16.87E-3
748.0E-3,114.7E-6,595.1E-6,1.070E-3,1.544E-3,2.017E-3,2.491E-3,750.0E-3,13.73E-3,10.49E-3,7.250E-3,16.97E-3
750.0E-3,116.2E-6,603.1E-6,1.085E-3,1.565E-3,2.045E-3,2.524E-3,752.0E-3,13.80E-3,10.55E-3,7.288E-3,17.05E-3
752.0E-3,117.6E-6,611.2E-6,1.099E-3,1.586E-3,2.072E-3,2.559E-3,754.0E-3,13.87E-3,10.60E-3,7.325E-3,17.14E-3
754.0E-3,119.1E-6,619.3E-6,1.114E-3,1.607E-3,2.100E-3,2.593E-3,756.0E-3,13.94E-3,10.65E-3,7.362E-3,17.23E-3
756.0E-3,120.5E-6,627.4E-6,1.129E-3,1.629E-3,2.128E-3,2.627E-3,758.0E-3,14.01E-3,10.71E-3,7.399E-3,17.32E-3
758.0E-3,122.0E-6,635.6E-6,1.143E-3,1.650E-3,2.156E-3,2.662E-3,760.0E-3,14.08E-3,10.76E-3,7.435E-3,17.40E-3
760.0E-3,123.4E-6,643.8E-6,1.158E-3,1.671E-3,2.184E-3,2.697E-3,762.0E-3,14.15E-3,10.81E-3,7.470E-3,17.49E-3
762.0E-3,124.9E-6,652.0E-6,1.173E-3,1.693E-3,2.213E-3,2.732E-3,764.0E-3,14.22E-3,10.86E-3,7.506E-3,17.57E-3
764.0E-3,126.4E-6,660.3E-6,1.188E-3,1.715E-3,2.241E-3,2.767E-3,766.0E-3,14.28E-3,10.91E-3,7.541E-3,17.65E-3
766.0E-3,127.9E-6,668.6E-6,1.203E-3,1.737E-3,2.270E-3,2.802E-3,768.0E-3,14.35E-3,10.96E-3,7.575E-3,17.73E-3
768.0E-3,129.4E-6,677.0E-6,1.218E-3,1.759E-3,2.298E-3,2.838E-3,770.0E-3,14.41E-3,11.01E-3,7.609E-3,17.82E-3
770.0E-3,130.9E-6,685.4E-6,1.234E-3,1.781E-3,2.327E-3,2.873E-3,772.0E-3,14.48E-3,11.06E-3,7.643E-3,17.90E-3
772.0E-3,132.4E-6,693.8E-6,1.249E-3,1.803E-3,2.356E-3,2.909E-3,774.0E-3,14.54E-3,11.11E-3,7.676E-3,17.97E-3
774.0E-3,133.9E-6,702.3E-6,1.264E-3,1.825E-3,2.385E-3,2.945E-3,776.0E-3,14.61E-3,11.16E-3,7.709E-3,18.05E-3
776.0E-3,135.4E-6,710.8E-6,1.280E-3,1.847E-3,2.414E-3,2.981E-3,778.0E-3,14.67E-3,11.21E-3,7.741E-3,18.13E-3
778.0E-3,136.9E-6,719.3E-6,1.295E-3,1.870E-3,2.444E-3,3.017E-3,780.0E-3,14.73E-3,11.25E-3,7.774E-3,18.20E-3
780.0E-3,138.4E-6,727.9E-6,1.311E-3,1.892E-3,2.473E-3,3.054E-3,782.0E-3,14.79E-3,11.30E-3,7.805E-3,18.28E-3
782.0E-3,140.0E-6,736.5E-6,1.326E-3,1.915E-3,2.503E-3,3.090E-3,784.0E-3,14.85E-3,11.34E-3,7.837E-3,18.35E-3
784.0E-3,141.5E-6,745.2E-6,1.342E-3,1.937E-3,2.532E-3,3.127E-3,786.0E-3,14.91E-3,11.39E-3,7.868E-3,18.43E-3
786.0E-3,143.0E-6,753.8E-6,1.358E-3,1.960E-3,2.562E-3,3.164E-3,788.0E-3,14.97E-3,11.43E-3,7.898E-3,18.50E-3
788.0E-3,144.6E-6,762.5E-6,1.374E-3,1.983E-3,2.592E-3,3.201E-3,790.0E-3,15.03E-3,11.48E-3,7.928E-3,18.57E-3
790.0E-3,146.1E-6,771.3E-6,1.389E-3,2.006E-3,2.622E-3,3.238E-3,792.0E-3,15.08E-3,11.52E-3,7.958E-3,18.64E-3
792.0E-3,147.7E-6,780.1E-6,1.405E-3,2.029E-3,2.652E-3,3.275E-3,794.0E-3,15.14E-3,11.56E-3,7.988E-3,18.71E-3
794.0E-3,149.2E-6,788.9E-6,1.421E-3,2.052E-3,2.683E-3,3.313E-3,796.0E-3,15.19E-3,11.61E-3,8.017E-3,18.78E-3
796.0E-3,150.8E-6,797.7E-6,1.437E-3,2.075E-3,2.713E-3,3.350E-3,798.0E-3,15.25E-3,11.65E-3,8.045E-3,18.85E-3
798.0E-3,152.4E-6,806.6E-6,1.453E-3,2.099E-3,2.743E-3,3.388E-3,800.0E-3,15.30E-3,11.69E-3,8.074E-3,18.92E-3
800.0E-3,154.0E-6,815.5E-6,1.470E-3,2.122E-3,2.774E-3,3.426E-3,802.0E-3,15.36E-3,11.73E-3,8.102E-3,18.98E-3
802.0E-3,155.5E-6,824.4E-6,1.486E-3,2.146E-3,2.805E-3,3.464E-3,804.0E-3,15.41E-3,11.77E-3,8.130E-3,19.05E-3
804.0E-3,157.1E-6,833.4E-6,1.502E-3,2.169E-3,2.836E-3,3.502E-3,806.0E-3,15.46E-3,11.81E-3,8.157E-3,19.11E-3
806.0E-3,158.7E-6,842.4E-6,1.518E-3,2.193E-3,2.867E-3,3.540E-3,808.0E-3,15.51E-3,11.85E-3,8.184E-3,19.18E-3
808.0E-3,160.3E-6,851.4E-6,1.535E-3,2.216E-3,2.898E-3,3.578E-3,810.0E-3,15.56E-3,11.89E-3,8.211E-3,19.24E-3
810.0E-3,161.9E-6,860.4E-6,1.551E-3,2.240E-3,2.929E-3,3.617E-3,812.0E-3,15.62E-3,11.93E-3,8.237E-3,19.30E-3
812.0E-3,163.5E-6,869.5E-6,1.568E-3,2.264E-3,2.960E-3,3.656E-3,814.0E-3,15.66E-3,11.97E-3,8.263E-3,19.36E-3
814.0E-3,165.1E-6,878.6E-6,1.584E-3,2.288E-3,2.991E-3,3.694E-3,816.0E-3,15.71E-3,12.00E-3,8.288E-3,19.42E-3
816.0E-3,166.7E-6,887.7E-6,1.601E-3,2.312E-3,3.023E-3,3.733E-3,818.0E-3,15.76E-3,12.04E-3,8.314E-3,19.48E-3
818.0E-3,168.3E-6,896.9E-6,1.617E-3,2.336E-3,3.054E-3,3.772E-3,820.0E-3,15.81E-3,12.08E-3,8.339E-3,19.54E-3
820.0E-3,170.0E-6,906.1E-6,1.634E-3,2.360E-3,3.086E-3,3.811E-3,822.0E-3,15.86E-3,12.11E-3,8.363E-3,19.60E-3
822.0E-3,171.6E-6,915.3E-6,1.651E-3,2.384E-3,3.118E-3,3.850E-3,824.0E-3,15.90E-3,12.15E-3,8.388E-3,19.66E-3
824.0E-3,173.2E-6,924.6E-6,1.668E-3,2.409E-3,3.149E-3,3.890E-3,826.0E-3,15.95E-3,12.18E-3,8.412E-3,19.72E-3
826.0E-3,174.9E-6,933.8E-6,1.684E-3,2.433E-3,3.181E-3,3.929E-3,828.0E-3,15.99E-3,12.22E-3,8.436E-3,19.77E-3
828.0E-3,176.5E-6,943.1E-6,1.701E-3,2.458E-3,3.213E-3,3.969E-3,830.0E-3,16.04E-3,12.25E-3,8.459E-3,19.83E-3
830.0E-3,178.1E-6,952.4E-6,1.718E-3,2.482E-3,3.245E-3,4.008E-3,832.0E-3,16.08E-3,12.28E-3,8.482E-3,19.88E-3
832.0E-3,179.8E-6,961.8E-6,1.735E-3,2.507E-3,3.278E-3,4.048E-3,834.0E-3,16.13E-3,12.32E-3,8.505E-3,19.94E-3
834.0E-3,181.4E-6,971.2E-6,1.752E-3,2.531E-3,3.310E-3,4.088E-3,836.0E-3,16.17E-3,12.35E-3,8.527E-3,19.99E-3
836.0E-3,183.1E-6,980.5E-6,1.769E-3,2.556E-3,3.342E-3,4.128E-3,838.0E-3,16.21E-3,12.38E-3,8.550E-3,20.04E-3
838.0E-3,184.8E-6,990.0E-6,1.786E-3,2.581E-3,3.375E-3,4.168E-3,840.0E-3,16.25E-3,12.41E-3,8.571E-3,20.09E-3
840.0E-3,186.4E-6,999.4E-6,1.803E-3,2.606E-3,3.407E-3,4.208E-3,842.0E-3,16.30E-3,12.45E-3,8.593E-3,20.15E-3
842.0E-3,188.1E-6,1.009E-3,1.821E-3,2.630E-3,3.440E-3,4.249E-3,844.0E-3,16.34E-3,12.48E-3,8.614E-3,20.20E-3
844.0E-3,189.8E-6,1.018E-3,1.838E-3,2.655E-3,3.472E-3,4.289E-3,846.0E-3,16.38E-3,12.51E-3,8.635E-3,20.25E-3
846.0E-3,191.4E-6,1.028E-3,1.855E-3,2.680E-3,3.505E-3,4.329E-3,848.0E-3,16.42E-3,12.54E-3,8.656E-3,20.29E-3
848.0E-3,193.1E-6,1.037E-3,1.872E-3,2.705E-3,3.538E-3,4.370E-3,850.0E-3,16.46E-3,12.57E-3,8.677E-3,20.34E-3
850.0E-3,194.8E-6,1.047E-3,1.890E-3,2.731E-3,3.571E-3,4.411E-3,852.0E-3,16.49E-3,12.60E-3,8.697E-3,20.39E-3
852.0E-3,196.5E-6,1.057E-3,1.907E-3,2.756E-3,3.604E-3,4.451E-3,854.0E-3,16.53E-3,12.63E-3,8.717E-3,20.44E-3
854.0E-3,198.2E-6,1.066E-3,1.925E-3,2.781E-3,3.637E-3,4.492E-3,856.0E-3,16.57E-3,12.65E-3,8.736E-3,20.48E-3
856.0E-3,199.8E-6,1.076E-3,1.942E-3,2.806E-3,3.670E-3,4.533E-3,858.0E-3,16.61E-3,12.68E-3,8.756E-3,20.53E-3
858.0E-3,201.5E-6,1.085E-3,1.960E-3,2.832E-3,3.703E-3,4.574E-3,860.0E-3,16.64E-3,12.71E-3,8.775E-3,20.58E-3
860.0E-3,203.2E-6,1.095E-3,1.977E-3,2.857E-3,3.737E-3,4.616E-3,862.0E-3,16.68E-3,12.74E-3,8.794E-3,20.62E-3
862.0E-3,204.9E-6,1.105E-3,1.995E-3,2.883E-3,3.770E-3,4.657E-3,864.0E-3,16.72E-3,12.77E-3,8.812E-3,20.66E-3
864.0E-3,206.6E-6,1.114E-3,2.012E-3,2.908E-3,3.803E-3,4.698E-3,866.0E-3,16.75E-3,12.79E-3,8.831E-3,20.71E-3
866.0E-3,208.3E-6,1.124E-3,2.030E-3,2.934E-3,3.837E-3,4.739E-3,868.0E-3,16.79E-3,12.82E-3,8.849E-3,20.75E-3
868.0E-3,210.1E-6,1.134E-3,2.048E-3,2.959E-3,3.870E-3,4.781E-3,870.0E-3,16.82E-3,12.84E-3,8.866E-3,20.79E-3
870.0E-3,211.8E-6,1.144E-3,2.065E-3,2.985E-3,3.904E-3,4.823E-3,872.0E-3,16.85E-3,12.87E-3,8.884E-3,20.83E-3
872.0E-3,213.5E-6,1.153E-3,2.083E-3,3.011E-3,3.938E-3,4.864E-3,874.0E-3,16.89E-3,12.89E-3,8.901E-3,20.88E-3
874.0E-3,215.2E-6,1.163E-3,2.101E-3,3.037E-3,3.971E-3,4.906E-3,876.0E-3,16.92E-3,12.92E-3,8.918E-3,20.92E-3
876.0E-3,216.9E-6,1.173E-3,2.119E-3,3.062E-3,4.005E-3,4.948E-3,878.0E-3,16.95E-3,12.94E-3,8.935E-3,20.96E-3
878.0E-3,218.7E-6,1.183E-3,2.137E-3,3.088E-3,4.039E-3,4.990E-3,880.0E-3,16.98E-3,12.97E-3,8.952E-3,21.00E-3
880.0E-3,220.4E-6,1.193E-3,2.155E-3,3.114E-3,4.073E-3,5.032E-3,882.0E-3,17.01E-3,12.99E-3,8.968E-3,21.03E-3
882.0E-3,222.1E-6,1.203E-3,2.173E-3,3.140E-3,4.107E-3,5.074E-3,884.0E-3,17.04E-3,13.02E-3,8.984E-3,21.07E-3
884.0E-3,223.9E-6,1.213E-3,2.191E-3,3.166E-3,4.141E-3,5.116E-3,886.0E-3,17.07E-3,13.04E-3,9.000E-3,21.11E-3
886.0E-3,225.6E-6,1.222E-3,2.209E-3,3.192E-3,4.175E-3,5.158E-3,888.0E-3,17.10E-3,13.06E-3,9.016E-3,21.15E-3
888.0E-3,227.3E-6,1.232E-3,2.227E-3,3.218E-3,4.210E-3,5.200E-3,890.0E-3,17.13E-3,13.08E-3,9.031E-3,21.18E-3
890.0E-3,229.1E-6,1.242E-3,2.245E-3,3.245E-3,4.244E-3,5.243E-3,892.0E-3,17.16E-3,13.11E-3,9.046E-3,21.22E-3
892.0E-3,230.8E-6,1.252E-3,2.263E-3,3.271E-3,4.278E-3,5.285E-3,894.0E-3,17.19E-3,13.13E-3,9.061E-3,21.25E-3
894.0E-3,232.6E-6,1.262E-3,2.281E-3,3.297E-3,4.313E-3,5.328E-3,896.0E-3,17.22E-3,13.15E-3,9.076E-3,21.29E-3
896.0E-3,234.3E-6,1.272E-3,2.299E-3,3.323E-3,4.347E-3,5.370E-3,898.0E-3,17.25E-3,13.17E-3,9.091E-3,21.32E-3
898.0E-3,236.1E-6,1.282E-3,2.317E-3,3.350E-3,4.382E-3,5.413E-3,900.0E-3,17.28E-3,13.19E-3,9.105E-3,21.36E-3
900.0E-3,237.8E-6,1.292E-3,2.335E-3,3.376E-3,4.416E-3,5.456E-3,902.0E-3,17.30E-3,13.21E-3,9.119E-3,21.39E-3
902.0E-3,239.6E-6,1.302E-3,2.354E-3,3.403E-3,4.451E-3,5.498E-3,904.0E-3,17.33E-3,13.23E-3,9.133E-3,21.42E-3
904.0E-3,241.3E-6,1.312E-3,2.372E-3,3.429E-3,4.485E-3,5.541E-3,906.0E-3,17.35E-3,13.25E-3,9.147E-3,21.46E-3
906.0E-3,243.1E-6,1.322E-3,2.390E-3,3.456E-3,4.520E-3,5.584E-3,908.0E-3,17.38E-3,13.27E-3,9.160E-3,21.49E-3
908.0E-3,244.9E-6,1.333E-3,2.409E-3,3.482E-3,4.555E-3,5.627E-3,910.0E-3,17.41E-3,13.29E-3,9.173E-3,21.52E-3
910.0E-3,246.6E-6,1.343E-3,2.427E-3,3.509E-3,4.590E-3,5.670E-3,912.0E-3,17.43E-3,13.31E-3,9.186E-3,21.55E-3
912.0E-3,248.4E-6,1.353E-3,2.445E-3,3.535E-3,4.625E-3,5.713E-3,914.0E-3,17.46E-3,13.33E-3,9.199E-3,21.58E-3
914.0E-3,250.2E-6,1.363E-3,2.464E-3,3.562E-3,4.659E-3,5.757E-3,916.0E-3,17.48E-3,13.35E-3,9.212E-3,21.61E-3
916.0E-3,252.0E-6,1.373E-3,2.482E-3,3.589E-3,4.694E-3,5.800E-3,918.0E-3,17.50E-3,13.37E-3,9.224E-3,21.64E-3
918.0E-3,253.7E-6,1.383E-3,2.500E-3,3.615E-3,4.729E-3,5.843E-3,920.0E-3,17.53E-3,13.38E-3,9.237E-3,21.67E-3
920.0E-3,255.5E-6,1.393E-3,2.519E-3,3.642E-3,4.764E-3,5.886E-3,922.0E-3,17.55E-3,13.40E-3,9.249E-3,21.70E-3
922.0E-3,257.3E-6,1.403E-3,2.537E-3,3.669E-3,4.800E-3,5.930E-3,924.0E-3,17.57E-3,13.42E-3,9.260E-3,21.73E-3
924.0E-3,259.1E-6,1.414E-3,2.556E-3,3.696E-3,4.835E-3,5.973E-3,926.0E-3,17.59E-3,13.43E-3,9.272E-3,21.75E-3
926.0E-3,260.9E-6,1.424E-3,2.575E-3,3.723E-3,4.870E-3,6.017E-3,928.0E-3,17.62E-3,13.45E-3,9.284E-3,21.78E-3
928.0E-3,262.7E-6,1.434E-3,2.593E-3,3.750E-3,4.905E-3,6.060E-3,930.0E-3,17.64E-3,13.47E-3,9.295E-3,21.81E-3
930.0E-3,264.4E-6,1.444E-3,2.612E-3,3.776E-3,4.940E-3,6.104E-3,932.0E-3,17.66E-3,13.48E-3,9.306E-3,21.83E-3
932.0E-3,266.2E-6,1.455E-3,2.630E-3,3.803E-3,4.976E-3,6.148E-3,934.0E-3,17.68E-3,13.50E-3,9.317E-3,21.86E-3
934.0E-3,268.0E-6,1.465E-3,2.649E-3,3.830E-3,5.011E-3,6.191E-3,936.0E-3,17.70E-3,13.52E-3,9.328E-3,21.89E-3
936.0E-3,269.8E-6,1.475E-3,2.668E-3,3.857E-3,5.046E-3,6.235E-3,938.0E-3,17.72E-3,13.53E-3,9.338E-3,21.91E-3
938.0E-3,271.6E-6,1.485E-3,2.686E-3,3.885E-3,5.082E-3,6.279E-3,940.0E-3,17.74E-3,13.55E-3,9.349E-3,21.93E-3
940.0E-3,273.4E-6,1.496E-3,2.705E-3,3.912E-3,5.117E-3,6.323E-3,942.0E-3,17.76E-3,13.56E-3,9.359E-3,21.96E-3
942.0E-3,275.2E-6,1.506E-3,2.724E-3,3.939E-3,5.153E-3,6.367E-3,944.0E-3,17.78E-3,13.58E-3,9.369E-3,21.98E-3
944.0E-3,277.0E-6,1.516E-3,2.742E-3,3.966E-3,5.188E-3,6.411E-3,946.0E-3,17.80E-3,13.59E-3,9.379E-3,22.01E-3
946.0E-3,278.8E-6,1.527E-3,2.761E-3,3.993E-3,5.224E-3,6.455E-3,948.0E-3,17.82E-3,13.60E-3,9.388E-3,22.03E-3
948.0E-3,280.6E-6,1.537E-3,2.780E-3,4.020E-3,5.260E-3,6.499E-3,950.0E-3,17.84E-3,13.62E-3,9.398E-3,22.05E-3
950.0E-3,282.5E-6,1.547E-3,2.799E-3,4.048E-3,5.295E-3,6.543E-3,952.0E-3,17.85E-3,13.63E-3,9.407E-3,22.07E-3
952.0E-3,284.3E-6,1.558E-3,2.818E-3,4.075E-3,5.331E-3,6.587E-3,954.0E-3,17.87E-3,13.64E-3,9.416E-3,22.10E-3
954.0E-3,286.1E-6,1.568E-3,2.836E-3,4.102E-3,5.367E-3,6.631E-3,956.0E-3,17.89E-3,13.66E-3,9.425E-3,22.12E-3
956.0E-3,287.9E-6,1.578E-3,2.855E-3,4.129E-3,5.403E-3,6.675E-3,958.0E-3,17.90E-3,13.67E-3,9.434E-3,22.14E-3
958.0E-3,289.7E-6,1.589E-3,2.874E-3,4.157E-3,5.438E-3,6.720E-3,960.0E-3,17.92E-3,13.68E-3,9.443E-3,22.16E-3
960.0E-3,291.5E-6,1.599E-3,2.893E-3,4.184E-3,5.474E-3,6.764E-3,962.0E-3,17.94E-3,13.70E-3,9.451E-3,22.18E-3
962.0E-3,293.3E-6,1.609E-3,2.912E-3,4.212E-3,5.510E-3,6.808E-3,964.0E-3,17.95E-3,13.71E-3,9.460E-3,22.20E-3
964.0E-3,295.2E-6,1.620E-3,2.931E-3,4.239E-3,5.546E-3,6.853E-3,966.0E-3,17.97E-3,13.72E-3,9.468E-3,22.22E-3
966.0E-3,297.0E-6,1.630E-3,2.950E-3,4.266E-3,5.582E-3,6.897E-3,968.0E-3,17.98E-3,13.73E-3,9.476E-3,22.24E-3
968.0E-3,298.8E-6,1.641E-3,2.969E-3,4.294E-3,5.618E-3,6.942E-3,970.0E-3,18.00E-3,13.74E-3,9.484E-3,22.26E-3
970.0E-3,300.6E-6,1.651E-3,2.988E-3,4.321E-3,5.654E-3,6.986E-3,972.0E-3,18.01E-3,13.75E-3,9.492E-3,22.27E-3
972.0E-3,302.4E-6,1.662E-3,3.007E-3,4.349E-3,5.690E-3,7.031E-3,974.0E-3,18.03E-3,13.77E-3,9.499E-3,22.29E-3
974.0E-3,304.3E-6,1.672E-3,3.026E-3,4.376E-3,5.726E-3,7.075E-3,976.0E-3,18.04E-3,13.78E-3,9.507E-3,22.31E-3
976.0E-3,306.1E-6,1.683E-3,3.045E-3,4.404E-3,5.762E-3,7.120E-3,978.0E-3,18.06E-3,13.79E-3,9.514E-3,22.33E-3
978.0E-3,307.9E-6,1.693E-3,3.064E-3,4.431E-3,5.798E-3,7.165E-3,980.0E-3,18.07E-3,13.80E-3,9.521E-3,22.34E-3
980.0E-3,309.8E-6,1.703E-3,3.083E-3,4.459E-3,5.834E-3,7.209E-3,982.0E-3,18.08E-3,13.81E-3,9.528E-3,22.36E-3
982.0E-3,311.6E-6,1.714E-3,3.102E-3,4.487E-3,5.871E-3,7.254E-3,984.0E-3,18.10E-3,13.82E-3,9.535E-3,22.38E-3
984.0E-3,313.4E-6,1.724E-3,3.121E-3,4.514E-3,5.907E-3,7.299E-3,986.0E-3,18.11E-3,13.83E-3,9.542E-3,22.39E-3
986.0E-3,315.3E-6,1.735E-3,3.140E-3,4.542E-3,5.943E-3,7.344E-3,988.0E-3,18.12E-3,13.84E-3,9.548E-3,22.41E-3
988.0E-3,317.1E-6,1.745E-3,3.159E-3,4.570E-3,5.979E-3,7.388E-3,990.0E-3,18.14E-3,13.85E-3,9.555E-3,22.42E-3
990.0E-3,318.9E-6,1.756E-3,3.178E-3,4.597E-3,6.016E-3,7.433E-3,992.0E-3,18.15E-3,13.86E-3,9.561E-3,22.44E-3
992.0E-3,320.8E-6,1.766E-3,3.197E-3,4.625E-3,6.052E-3,7.478E-3,994.0E-3,18.16E-3,13.86E-3,9.567E-3,22.45E-3
994.0E-3,322.6E-6,1.777E-3,3.216E-3,4.653E-3,6.088E-3,7.523E-3,996.0E-3,18.17E-3,13.87E-3,9.573E-3,22.47E-3
996.0E-3,324.5E-6,1.788E-3,3.236E-3,4.681E-3,6.124E-3,7.568E-3,998.0E-3,18.18E-3,13.88E-3,9.579E-3,22.48E-3
998.0E-3,326.3E-6,1.798E-3,3.255E-3,4.708E-3,6.161E-3,7.613E-3,1.000,18.19E-3,13.89E-3,9.585E-3,22.50E-3
1.000,328.1E-6,1.809E-3,3.274E-3,4.736E-3,6.197E-3,7.658E-3, , , , , 
