dc (V),V1:p (Wn=5.00e-06) (A),V1:p (Wn=1.00e-05) (A),V1:p (Wn=1.50e-05) (A),V1:p (Wn=2.50e-05) (A),dc (V),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 2.5e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 2e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 1.5e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 1e-05)),dc (V),V1:p (Wn=2.00e-05) (A)
254.0E-3,22.02E-6,43.52E-6,64.97E-6,107.8E-6,256.0E-3,-2.046E-3,-1.638E-3,-1.229E-3,-820.9E-6,254.0E-3,86.40E-6
256.0E-3,21.19E-6,41.88E-6,62.51E-6,103.7E-6,258.0E-3,-1.982E-3,-1.586E-3,-1.191E-3,-795.3E-6,256.0E-3,83.13E-6
258.0E-3,20.39E-6,40.29E-6,60.13E-6,99.77E-6,260.0E-3,-1.919E-3,-1.536E-3,-1.153E-3,-770.3E-6,258.0E-3,79.95E-6
260.0E-3,19.62E-6,38.75E-6,57.82E-6,95.94E-6,262.0E-3,-1.858E-3,-1.487E-3,-1.117E-3,-745.8E-6,260.0E-3,76.88E-6
262.0E-3,18.87E-6,37.25E-6,55.59E-6,92.22E-6,264.0E-3,-1.798E-3,-1.439E-3,-1.081E-3,-721.9E-6,262.0E-3,73.91E-6
264.0E-3,18.14E-6,35.81E-6,53.43E-6,88.63E-6,266.0E-3,-1.739E-3,-1.392E-3,-1.045E-3,-698.5E-6,264.0E-3,71.03E-6
266.0E-3,17.44E-6,34.41E-6,51.34E-6,85.15E-6,268.0E-3,-1.682E-3,-1.346E-3,-1.011E-3,-675.6E-6,266.0E-3,68.24E-6
268.0E-3,16.76E-6,33.06E-6,49.31E-6,81.79E-6,270.0E-3,-1.626E-3,-1.302E-3,-977.6E-6,-653.3E-6,268.0E-3,65.55E-6
270.0E-3,16.10E-6,31.76E-6,47.36E-6,78.53E-6,272.0E-3,-1.571E-3,-1.258E-3,-944.8E-6,-631.4E-6,270.0E-3,62.95E-6
272.0E-3,15.47E-6,30.49E-6,45.47E-6,75.39E-6,274.0E-3,-1.518E-3,-1.215E-3,-912.8E-6,-610.2E-6,272.0E-3,60.43E-6
274.0E-3,14.85E-6,29.27E-6,43.64E-6,72.36E-6,276.0E-3,-1.466E-3,-1.174E-3,-881.7E-6,-589.4E-6,274.0E-3,58.00E-6
276.0E-3,14.26E-6,28.09E-6,41.88E-6,69.43E-6,278.0E-3,-1.415E-3,-1.133E-3,-851.3E-6,-569.2E-6,276.0E-3,55.65E-6
278.0E-3,13.69E-6,26.96E-6,40.18E-6,66.60E-6,280.0E-3,-1.366E-3,-1.094E-3,-821.7E-6,-549.5E-6,278.0E-3,53.39E-6
280.0E-3,13.13E-6,25.86E-6,38.53E-6,63.86E-6,282.0E-3,-1.318E-3,-1.055E-3,-792.9E-6,-530.3E-6,280.0E-3,51.20E-6
282.0E-3,12.60E-6,24.80E-6,36.95E-6,61.23E-6,284.0E-3,-1.271E-3,-1.018E-3,-764.9E-6,-511.6E-6,282.0E-3,49.09E-6
284.0E-3,12.08E-6,23.77E-6,35.42E-6,58.69E-6,286.0E-3,-1.225E-3,-981.6E-6,-737.6E-6,-493.4E-6,284.0E-3,47.05E-6
286.0E-3,11.58E-6,22.79E-6,33.94E-6,56.24E-6,288.0E-3,-1.181E-3,-946.2E-6,-711.1E-6,-475.8E-6,286.0E-3,45.09E-6
288.0E-3,11.10E-6,21.83E-6,32.52E-6,53.87E-6,290.0E-3,-1.138E-3,-911.8E-6,-685.3E-6,-458.6E-6,288.0E-3,43.20E-6
290.0E-3,10.64E-6,20.92E-6,31.15E-6,51.60E-6,292.0E-3,-1.097E-3,-878.4E-6,-660.3E-6,-441.9E-6,290.0E-3,41.37E-6
292.0E-3,10.19E-6,20.03E-6,29.83E-6,49.40E-6,294.0E-3,-1.056E-3,-846.0E-6,-635.9E-6,-425.7E-6,292.0E-3,39.62E-6
294.0E-3,9.763E-6,19.18E-6,28.56E-6,47.29E-6,296.0E-3,-1.017E-3,-814.5E-6,-612.3E-6,-409.9E-6,294.0E-3,37.93E-6
296.0E-3,9.349E-6,18.36E-6,27.33E-6,45.26E-6,298.0E-3,-978.5E-6,-784.0E-6,-589.4E-6,-394.7E-6,296.0E-3,36.30E-6
298.0E-3,8.950E-6,17.57E-6,26.15E-6,43.30E-6,300.0E-3,-941.5E-6,-754.4E-6,-567.2E-6,-379.8E-6,298.0E-3,34.73E-6
300.0E-3,8.566E-6,16.81E-6,25.02E-6,41.42E-6,302.0E-3,-905.6E-6,-725.6E-6,-545.6E-6,-365.5E-6,300.0E-3,33.22E-6
302.0E-3,8.196E-6,16.08E-6,23.93E-6,39.61E-6,304.0E-3,-870.8E-6,-697.8E-6,-524.7E-6,-351.5E-6,302.0E-3,31.77E-6
304.0E-3,7.841E-6,15.38E-6,22.88E-6,37.87E-6,306.0E-3,-837.1E-6,-670.9E-6,-504.5E-6,-338.0E-6,304.0E-3,30.37E-6
306.0E-3,7.499E-6,14.70E-6,21.87E-6,36.19E-6,308.0E-3,-804.5E-6,-644.8E-6,-484.9E-6,-325.0E-6,306.0E-3,29.03E-6
308.0E-3,7.169E-6,14.05E-6,20.90E-6,34.58E-6,310.0E-3,-772.9E-6,-619.5E-6,-466.0E-6,-312.3E-6,308.0E-3,27.74E-6
310.0E-3,6.853E-6,13.43E-6,19.97E-6,33.04E-6,312.0E-3,-742.4E-6,-595.0E-6,-447.6E-6,-300.1E-6,310.0E-3,26.50E-6
312.0E-3,6.549E-6,12.83E-6,19.07E-6,31.55E-6,314.0E-3,-712.9E-6,-571.4E-6,-429.9E-6,-288.2E-6,312.0E-3,25.31E-6
314.0E-3,6.257E-6,12.25E-6,18.21E-6,30.13E-6,316.0E-3,-684.3E-6,-548.5E-6,-412.7E-6,-276.7E-6,314.0E-3,24.17E-6
316.0E-3,5.976E-6,11.70E-6,17.39E-6,28.76E-6,318.0E-3,-656.7E-6,-526.4E-6,-396.1E-6,-265.7E-6,316.0E-3,23.07E-6
318.0E-3,5.707E-6,11.17E-6,16.60E-6,27.44E-6,320.0E-3,-630.0E-6,-505.0E-6,-380.1E-6,-255.0E-6,318.0E-3,22.02E-6
320.0E-3,5.448E-6,10.66E-6,15.84E-6,26.18E-6,322.0E-3,-604.2E-6,-484.4E-6,-364.6E-6,-244.6E-6,320.0E-3,21.01E-6
322.0E-3,5.200E-6,10.17E-6,15.11E-6,24.98E-6,324.0E-3,-579.4E-6,-464.5E-6,-349.6E-6,-234.6E-6,322.0E-3,20.04E-6
324.0E-3,4.961E-6,9.699E-6,14.41E-6,23.82E-6,326.0E-3,-555.4E-6,-445.3E-6,-335.2E-6,-225.0E-6,324.0E-3,19.11E-6
326.0E-3,4.733E-6,9.249E-6,13.74E-6,22.71E-6,328.0E-3,-532.2E-6,-426.7E-6,-321.2E-6,-215.7E-6,326.0E-3,18.22E-6
328.0E-3,4.514E-6,8.817E-6,13.09E-6,21.64E-6,330.0E-3,-509.8E-6,-408.8E-6,-307.8E-6,-206.7E-6,328.0E-3,17.37E-6
330.0E-3,4.303E-6,8.404E-6,12.48E-6,20.62E-6,332.0E-3,-488.3E-6,-391.6E-6,-294.8E-6,-198.0E-6,330.0E-3,16.55E-6
332.0E-3,4.102E-6,8.008E-6,11.89E-6,19.65E-6,334.0E-3,-467.5E-6,-375.0E-6,-282.3E-6,-189.6E-6,332.0E-3,15.77E-6
334.0E-3,3.909E-6,7.629E-6,11.32E-6,18.71E-6,336.0E-3,-447.5E-6,-358.9E-6,-270.3E-6,-181.6E-6,334.0E-3,15.02E-6
336.0E-3,3.724E-6,7.266E-6,10.78E-6,17.81E-6,338.0E-3,-428.3E-6,-343.5E-6,-258.7E-6,-173.8E-6,336.0E-3,14.30E-6
338.0E-3,3.547E-6,6.918E-6,10.27E-6,16.96E-6,340.0E-3,-409.7E-6,-328.6E-6,-247.5E-6,-166.4E-6,338.0E-3,13.61E-6
340.0E-3,3.378E-6,6.585E-6,9.771E-6,16.14E-6,342.0E-3,-391.8E-6,-314.3E-6,-236.8E-6,-159.1E-6,340.0E-3,12.96E-6
342.0E-3,3.215E-6,6.267E-6,9.298E-6,15.36E-6,344.0E-3,-374.7E-6,-300.5E-6,-226.4E-6,-152.2E-6,342.0E-3,12.33E-6
344.0E-3,3.060E-6,5.962E-6,8.845E-6,14.61E-6,346.0E-3,-358.1E-6,-287.3E-6,-216.5E-6,-145.5E-6,344.0E-3,11.73E-6
346.0E-3,2.912E-6,5.671E-6,8.412E-6,13.89E-6,348.0E-3,-342.2E-6,-274.6E-6,-206.9E-6,-139.1E-6,346.0E-3,11.15E-6
348.0E-3,2.770E-6,5.393E-6,7.998E-6,13.21E-6,350.0E-3,-326.9E-6,-262.3E-6,-197.7E-6,-133.0E-6,348.0E-3,10.60E-6
350.0E-3,2.634E-6,5.127E-6,7.603E-6,12.55E-6,352.0E-3,-312.2E-6,-250.5E-6,-188.8E-6,-127.0E-6,350.0E-3,10.08E-6
352.0E-3,2.504E-6,4.873E-6,7.226E-6,11.93E-6,354.0E-3,-298.1E-6,-239.2E-6,-180.3E-6,-121.3E-6,352.0E-3,9.577E-6
354.0E-3,2.380E-6,4.630E-6,6.865E-6,11.33E-6,356.0E-3,-284.5E-6,-228.3E-6,-172.1E-6,-115.8E-6,354.0E-3,9.098E-6
356.0E-3,2.262E-6,4.399E-6,6.521E-6,10.76E-6,358.0E-3,-271.5E-6,-217.9E-6,-164.3E-6,-110.6E-6,356.0E-3,8.641E-6
358.0E-3,2.149E-6,4.178E-6,6.192E-6,10.22E-6,360.0E-3,-259.0E-6,-207.9E-6,-156.7E-6,-105.5E-6,358.0E-3,8.206E-6
360.0E-3,2.041E-6,3.967E-6,5.879E-6,9.701E-6,362.0E-3,-247.0E-6,-198.3E-6,-149.5E-6,-100.7E-6,360.0E-3,7.790E-6
362.0E-3,1.938E-6,3.765E-6,5.580E-6,9.206E-6,364.0E-3,-235.5E-6,-189.0E-6,-142.5E-6,-96.00E-6,362.0E-3,7.393E-6
364.0E-3,1.839E-6,3.573E-6,5.295E-6,8.735E-6,366.0E-3,-224.5E-6,-180.2E-6,-135.9E-6,-91.53E-6,364.0E-3,7.015E-6
366.0E-3,1.745E-6,3.390E-6,5.023E-6,8.286E-6,368.0E-3,-213.9E-6,-171.7E-6,-129.5E-6,-87.25E-6,366.0E-3,6.655E-6
368.0E-3,1.656E-6,3.216E-6,4.764E-6,7.859E-6,370.0E-3,-203.8E-6,-163.6E-6,-123.4E-6,-83.14E-6,368.0E-3,6.311E-6
370.0E-3,1.571E-6,3.050E-6,4.517E-6,7.451E-6,372.0E-3,-194.1E-6,-155.8E-6,-117.5E-6,-79.20E-6,370.0E-3,5.984E-6
372.0E-3,1.490E-6,2.891E-6,4.282E-6,7.063E-6,374.0E-3,-184.8E-6,-148.3E-6,-111.9E-6,-75.42E-6,372.0E-3,5.673E-6
374.0E-3,1.412E-6,2.740E-6,4.058E-6,6.693E-6,376.0E-3,-175.9E-6,-141.2E-6,-106.5E-6,-71.81E-6,374.0E-3,5.376E-6
376.0E-3,1.338E-6,2.597E-6,3.845E-6,6.342E-6,378.0E-3,-167.3E-6,-134.4E-6,-101.4E-6,-68.35E-6,376.0E-3,5.094E-6
378.0E-3,1.268E-6,2.460E-6,3.643E-6,6.007E-6,380.0E-3,-159.2E-6,-127.8E-6,-96.43E-6,-65.03E-6,378.0E-3,4.825E-6
380.0E-3,1.201E-6,2.330E-6,3.450E-6,5.689E-6,382.0E-3,-151.4E-6,-121.6E-6,-91.72E-6,-61.86E-6,380.0E-3,4.569E-6
382.0E-3,1.138E-6,2.206E-6,3.266E-6,5.386E-6,384.0E-3,-143.9E-6,-115.6E-6,-87.21E-6,-58.83E-6,382.0E-3,4.326E-6
384.0E-3,1.077E-6,2.089E-6,3.092E-6,5.098E-6,386.0E-3,-136.8E-6,-109.8E-6,-82.90E-6,-55.93E-6,384.0E-3,4.095E-6
386.0E-3,1.020E-6,1.977E-6,2.926E-6,4.824E-6,388.0E-3,-130.0E-6,-104.4E-6,-78.78E-6,-53.16E-6,386.0E-3,3.875E-6
388.0E-3,965.2E-9,1.870E-6,2.769E-6,4.564E-6,390.0E-3,-123.5E-6,-99.16E-6,-74.84E-6,-50.51E-6,388.0E-3,3.667E-6
390.0E-3,913.2E-9,1.769E-6,2.619E-6,4.318E-6,392.0E-3,-117.3E-6,-94.17E-6,-71.08E-6,-47.98E-6,390.0E-3,3.468E-6
392.0E-3,863.8E-9,1.673E-6,2.477E-6,4.083E-6,394.0E-3,-111.3E-6,-89.41E-6,-67.49E-6,-45.56E-6,392.0E-3,3.280E-6
394.0E-3,816.9E-9,1.582E-6,2.342E-6,3.860E-6,396.0E-3,-105.7E-6,-84.87E-6,-64.06E-6,-43.25E-6,394.0E-3,3.101E-6
396.0E-3,772.4E-9,1.496E-6,2.214E-6,3.649E-6,398.0E-3,-100.3E-6,-80.53E-6,-60.79E-6,-41.05E-6,396.0E-3,2.931E-6
398.0E-3,730.1E-9,1.414E-6,2.092E-6,3.449E-6,400.0E-3,-95.11E-6,-76.39E-6,-57.68E-6,-38.95E-6,398.0E-3,2.770E-6
400.0E-3,689.9E-9,1.336E-6,1.977E-6,3.258E-6,402.0E-3,-90.20E-6,-72.45E-6,-54.70E-6,-36.94E-6,400.0E-3,2.618E-6
402.0E-3,651.8E-9,1.262E-6,1.867E-6,3.078E-6,404.0E-3,-85.52E-6,-68.69E-6,-51.87E-6,-35.03E-6,402.0E-3,2.473E-6
404.0E-3,615.7E-9,1.192E-6,1.764E-6,2.907E-6,406.0E-3,-81.06E-6,-65.11E-6,-49.17E-6,-33.21E-6,404.0E-3,2.335E-6
406.0E-3,581.4E-9,1.125E-6,1.665E-6,2.745E-6,408.0E-3,-76.81E-6,-61.70E-6,-46.60E-6,-31.48E-6,406.0E-3,2.205E-6
408.0E-3,549.0E-9,1.062E-6,1.572E-6,2.591E-6,410.0E-3,-72.77E-6,-58.46E-6,-44.15E-6,-29.83E-6,408.0E-3,2.082E-6
410.0E-3,518.2E-9,1.003E-6,1.484E-6,2.446E-6,412.0E-3,-68.92E-6,-55.37E-6,-41.81E-6,-28.25E-6,410.0E-3,1.965E-6
412.0E-3,489.0E-9,946.3E-9,1.400E-6,2.308E-6,414.0E-3,-65.26E-6,-52.43E-6,-39.59E-6,-26.76E-6,412.0E-3,1.854E-6
414.0E-3,461.4E-9,892.7E-9,1.321E-6,2.177E-6,416.0E-3,-61.77E-6,-49.63E-6,-37.48E-6,-25.33E-6,414.0E-3,1.749E-6
416.0E-3,435.2E-9,842.1E-9,1.246E-6,2.054E-6,418.0E-3,-58.46E-6,-46.97E-6,-35.47E-6,-23.98E-6,416.0E-3,1.650E-6
418.0E-3,410.4E-9,794.1E-9,1.175E-6,1.937E-6,420.0E-3,-55.31E-6,-44.44E-6,-33.57E-6,-22.69E-6,418.0E-3,1.556E-6
420.0E-3,387.0E-9,748.8E-9,1.108E-6,1.826E-6,422.0E-3,-52.32E-6,-42.04E-6,-31.75E-6,-21.46E-6,420.0E-3,1.467E-6
422.0E-3,364.8E-9,705.8E-9,1.044E-6,1.722E-6,424.0E-3,-49.48E-6,-39.75E-6,-30.03E-6,-20.30E-6,422.0E-3,1.383E-6
424.0E-3,343.8E-9,665.2E-9,984.4E-9,1.623E-6,426.0E-3,-46.78E-6,-37.58E-6,-28.39E-6,-19.19E-6,424.0E-3,1.304E-6
426.0E-3,324.0E-9,626.9E-9,927.6E-9,1.529E-6,428.0E-3,-44.22E-6,-35.53E-6,-26.84E-6,-18.14E-6,426.0E-3,1.228E-6
428.0E-3,305.2E-9,590.6E-9,874.0E-9,1.441E-6,430.0E-3,-41.78E-6,-33.57E-6,-25.36E-6,-17.15E-6,428.0E-3,1.157E-6
430.0E-3,287.5E-9,556.3E-9,823.3E-9,1.357E-6,432.0E-3,-39.47E-6,-31.72E-6,-23.96E-6,-16.20E-6,430.0E-3,1.090E-6
432.0E-3,270.8E-9,523.9E-9,775.3E-9,1.278E-6,434.0E-3,-37.29E-6,-29.96E-6,-22.63E-6,-15.30E-6,432.0E-3,1.027E-6
434.0E-3,254.9E-9,493.3E-9,730.1E-9,1.203E-6,436.0E-3,-35.21E-6,-28.29E-6,-21.37E-6,-14.45E-6,434.0E-3,966.8E-9
436.0E-3,240.0E-9,464.4E-9,687.3E-9,1.133E-6,438.0E-3,-33.24E-6,-26.71E-6,-20.18E-6,-13.64E-6,436.0E-3,910.2E-9
438.0E-3,225.9E-9,437.1E-9,647.0E-9,1.067E-6,440.0E-3,-31.38E-6,-25.21E-6,-19.05E-6,-12.88E-6,438.0E-3,856.8E-9
440.0E-3,212.5E-9,411.3E-9,608.9E-9,1.004E-6,442.0E-3,-29.61E-6,-23.79E-6,-17.97E-6,-12.15E-6,440.0E-3,806.4E-9
442.0E-3,200.0E-9,387.0E-9,572.9E-9,944.6E-9,444.0E-3,-27.94E-6,-22.45E-6,-16.96E-6,-11.47E-6,442.0E-3,758.8E-9
444.0E-3,188.1E-9,364.1E-9,539.0E-9,888.7E-9,446.0E-3,-26.35E-6,-21.17E-6,-16.00E-6,-10.82E-6,444.0E-3,713.9E-9
446.0E-3,176.9E-9,342.5E-9,507.0E-9,836.0E-9,448.0E-3,-24.85E-6,-19.97E-6,-15.09E-6,-10.20E-6,446.0E-3,671.5E-9
448.0E-3,166.4E-9,322.1E-9,476.9E-9,786.3E-9,450.0E-3,-23.43E-6,-18.83E-6,-14.22E-6,-9.618E-6,448.0E-3,631.6E-9
450.0E-3,156.4E-9,302.8E-9,448.4E-9,739.5E-9,452.0E-3,-22.09E-6,-17.75E-6,-13.41E-6,-9.066E-6,450.0E-3,593.9E-9
452.0E-3,147.0E-9,284.7E-9,421.6E-9,695.3E-9,454.0E-3,-20.82E-6,-16.73E-6,-12.64E-6,-8.545E-6,452.0E-3,558.4E-9
454.0E-3,138.2E-9,267.6E-9,396.3E-9,653.6E-9,456.0E-3,-19.62E-6,-15.76E-6,-11.91E-6,-8.052E-6,454.0E-3,525.0E-9
456.0E-3,129.8E-9,251.5E-9,372.5E-9,614.4E-9,458.0E-3,-18.48E-6,-14.85E-6,-11.22E-6,-7.585E-6,456.0E-3,493.5E-9
458.0E-3,122.0E-9,236.3E-9,350.1E-9,577.4E-9,460.0E-3,-17.41E-6,-13.99E-6,-10.57E-6,-7.145E-6,458.0E-3,463.7E-9
460.0E-3,114.6E-9,222.1E-9,328.9E-9,542.6E-9,462.0E-3,-16.40E-6,-13.18E-6,-9.952E-6,-6.728E-6,460.0E-3,435.8E-9
462.0E-3,107.6E-9,208.6E-9,309.0E-9,509.8E-9,464.0E-3,-15.44E-6,-12.41E-6,-9.370E-6,-6.335E-6,462.0E-3,409.4E-9
464.0E-3,101.1E-9,195.9E-9,290.3E-9,478.9E-9,466.0E-3,-14.54E-6,-11.68E-6,-8.821E-6,-5.963E-6,464.0E-3,384.6E-9
466.0E-3,94.91E-9,184.0E-9,272.6E-9,449.9E-9,468.0E-3,-13.68E-6,-10.99E-6,-8.303E-6,-5.612E-6,466.0E-3,361.2E-9
468.0E-3,89.11E-9,172.8E-9,256.0E-9,422.5E-9,470.0E-3,-12.88E-6,-10.34E-6,-7.813E-6,-5.281E-6,468.0E-3,339.3E-9
470.0E-3,83.64E-9,162.2E-9,240.4E-9,396.7E-9,472.0E-3,-12.12E-6,-9.734E-6,-7.351E-6,-4.969E-6,470.0E-3,318.6E-9
472.0E-3,78.50E-9,152.3E-9,225.7E-9,372.5E-9,474.0E-3,-11.40E-6,-9.157E-6,-6.916E-6,-4.674E-6,472.0E-3,299.1E-9
474.0E-3,73.67E-9,142.9E-9,211.9E-9,349.7E-9,476.0E-3,-10.72E-6,-8.613E-6,-6.505E-6,-4.396E-6,474.0E-3,280.8E-9
476.0E-3,69.12E-9,134.1E-9,198.9E-9,328.3E-9,478.0E-3,-10.08E-6,-8.100E-6,-6.117E-6,-4.133E-6,476.0E-3,263.6E-9
478.0E-3,64.85E-9,125.9E-9,186.6E-9,308.1E-9,480.0E-3,-9.481E-6,-7.616E-6,-5.751E-6,-3.886E-6,478.0E-3,247.4E-9
480.0E-3,60.83E-9,118.1E-9,175.1E-9,289.1E-9,482.0E-3,-8.914E-6,-7.160E-6,-5.407E-6,-3.653E-6,480.0E-3,232.1E-9
482.0E-3,57.05E-9,110.8E-9,164.3E-9,271.3E-9,484.0E-3,-8.379E-6,-6.731E-6,-5.082E-6,-3.433E-6,482.0E-3,217.8E-9
484.0E-3,53.50E-9,103.9E-9,154.1E-9,254.6E-9,486.0E-3,-7.875E-6,-6.326E-6,-4.776E-6,-3.227E-6,484.0E-3,204.4E-9
486.0E-3,50.17E-9,97.47E-9,144.6E-9,238.8E-9,488.0E-3,-7.401E-6,-5.944E-6,-4.488E-6,-3.032E-6,486.0E-3,191.7E-9
488.0E-3,47.04E-9,91.41E-9,135.6E-9,224.0E-9,490.0E-3,-6.953E-6,-5.585E-6,-4.217E-6,-2.848E-6,488.0E-3,179.8E-9
490.0E-3,44.09E-9,85.71E-9,127.2E-9,210.1E-9,492.0E-3,-6.533E-6,-5.247E-6,-3.961E-6,-2.675E-6,490.0E-3,168.6E-9
492.0E-3,41.33E-9,80.36E-9,119.3E-9,197.0E-9,494.0E-3,-6.136E-6,-4.928E-6,-3.720E-6,-2.512E-6,492.0E-3,158.1E-9
494.0E-3,38.73E-9,75.34E-9,111.8E-9,184.8E-9,496.0E-3,-5.763E-6,-4.629E-6,-3.494E-6,-2.359E-6,494.0E-3,148.3E-9
496.0E-3,36.30E-9,70.62E-9,104.8E-9,173.2E-9,498.0E-3,-5.412E-6,-4.346E-6,-3.281E-6,-2.215E-6,496.0E-3,139.0E-9
498.0E-3,34.01E-9,66.19E-9,98.27E-9,162.4E-9,500.0E-3,-5.082E-6,-4.081E-6,-3.080E-6,-2.079E-6,498.0E-3,130.3E-9
500.0E-3,31.87E-9,62.03E-9,92.11E-9,152.2E-9,502.0E-3,-4.771E-6,-3.831E-6,-2.891E-6,-1.952E-6,500.0E-3,122.2E-9
502.0E-3,29.85E-9,58.13E-9,86.33E-9,142.7E-9,504.0E-3,-4.478E-6,-3.596E-6,-2.714E-6,-1.832E-6,502.0E-3,114.5E-9
504.0E-3,27.96E-9,54.47E-9,80.90E-9,133.7E-9,506.0E-3,-4.203E-6,-3.375E-6,-2.547E-6,-1.719E-6,504.0E-3,107.3E-9
506.0E-3,26.19E-9,51.03E-9,75.81E-9,125.3E-9,508.0E-3,-3.945E-6,-3.167E-6,-2.390E-6,-1.613E-6,506.0E-3,100.6E-9
508.0E-3,24.53E-9,47.80E-9,71.03E-9,117.5E-9,510.0E-3,-3.701E-6,-2.972E-6,-2.243E-6,-1.513E-6,508.0E-3,94.24E-9
510.0E-3,22.97E-9,44.78E-9,66.54E-9,110.0E-9,512.0E-3,-3.473E-6,-2.788E-6,-2.104E-6,-1.419E-6,510.0E-3,88.30E-9
512.0E-3,21.50E-9,41.94E-9,62.33E-9,103.1E-9,514.0E-3,-3.258E-6,-2.616E-6,-1.973E-6,-1.331E-6,512.0E-3,82.72E-9
